Journal name,JCR Abbreviated Title,ISSN,eISSN,Category,Total Citations,Journal Impact Factor,JIF Quartile,JIF Percentile,Article Influence Score,AIS Quartile,Journal Citation Indicator (JCI),JCI Percentile,% of OA Gold,5 Year JIF,JIF Without Self Cites,Immediacy Index,Eigenfactor,Normalized Eigenfactor,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
LANDSCAPE ECOLOGY,LANDSCAPE ECOL,0921-2973,1572-9761,Multiple,13.472,5.043,Q1,86.46,1.095,Q2,1.09,80.69,25.54,5.586,4.515,0.876,0.00889,1.90015,201,94.53,8.4,8.9,190
Landscape Research,LANDSCAPE RES,0142-6397,1469-9710,Multiple,1.983,1.701,Q4,24.12,0.471,Q4,0.55,49.7,19.67,2.217,1.521,0.306,0.00167,0.35746,72,100,7.5,10,72
Landslides,LANDSLIDES,1612-510X,1612-5118,Multiple,10.23,6.153,Q1,91.46,1.26,Q1,1.66,94.88,15.96,6.864,5.261,1.138,0.01068,2.28261,181,98.9,4.8,8.4,179
Langages,LANGAGES,0458-726X,1958-9549,Multiple,331,0.127,N/A,1.29,0.196,Q4,0.02,3.38,0,0.23,0.109,0.905,0.00025,0.05368,21,100,20.6,16,21
LANGENBECKS ARCHIVES OF SURGERY,LANGENBECK ARCH SURG,1435-2443,1435-2451,SURGERY - SCIE,5.435,2.895,Q2,61.37,0.781,Q2,1.02,78.32,25.74,3.116,2.67,0.484,0.00494,1.05594,316,85.13,7.5,7.1,269
LANGMUIR,LANGMUIR,0743-7463,N/A,Multiple,129.693,4.331,Q2,60.14,0.689,Q2,0.66,64.06,7.69,4.209,3.85,1.008,0.05406,11.55455,1.568,100,10.1,7.9,1.568
LANGUAGE,LANGUAGE,0097-8507,1535-0665,Multiple,5.01,1.8,N/A,65.21,1.352,Q1,2.19,95.27,0,2.36,1.682,0.778,0.00288,0.61759,45,100,28.7,13,45
LANGUAGE & COMMUNICATION,LANG COMMUN,0271-5309,1873-3395,Multiple,1.585,1.89,Q2,70.36,0.997,Q1,1,73.5,15.57,2.004,1.73,0.522,0.00233,0.49988,67,100,11.5,12.2,67
Language & History,LANG HIST,1759-7536,1759-7544,Multiple,58,0.346,N/A,7.47,0.361,Q3,0.42,46.35,12.82,0.423,0.269,0,0.00017,0.03813,13,100,N/A,27.3,13
Language Acquisition,LANG ACQUIS,1048-9223,1532-7817,Multiple,989,1.6,N/A,60.57,0.74,Q2,1.47,88.51,18.18,1.951,1.556,0.476,0.00071,0.15329,21,100,14.9,13.9,21
Language and Cognition,LANG COGN,1866-9808,1866-9859,Multiple,427,2.66,N/A,83.25,0.881,Q1,1.55,90.14,37.33,1.86,2.64,0.16,0.00101,0.21656,25,100,5.5,12.5,25
Language and Education,LANG EDUC-UK,0950-0782,1747-7581,Multiple,1.428,2.432,N/A,81.7,0.94,Q1,1.87,93.92,11.76,2.815,2.159,0.292,0.00158,0.33955,48,100,7.9,8.1,48
Language and Intercultural Communication,LANG INTERCULT COMM,1470-8477,1747-759X,Multiple,760,1.532,N/A,57.47,0.6,Q2,1.35,86.35,8.59,2.09,1.215,0.163,0.00101,0.21698,49,100,6,9,49
Language and Linguistics,LANG LINGUIST-TAIWAN,1606-822X,2309-5067,Multiple,309,0.348,N/A,7.99,0.39,Q3,0.25,33.11,15.63,0.525,0.348,0.167,0.00044,0.09509,18,100,11.1,19,18
Language and Literature,LANG LIT,0963-9470,1461-7293,Multiple,334,0.674,N/A,25,0.489,Q2,0.54,53.65,20.69,0.701,0.465,0.067,0.00045,0.09633,15,100,12.4,10.9,15
LANGUAGE AND SPEECH,LANG SPEECH,0023-8309,1756-6053,Multiple,1.917,1.835,Q2,68.3,0.798,Q2,0.81,53.47,16.33,1.91,1.748,0.727,0.00142,0.3047,44,100,17.9,13.8,44
Language Assessment Quarterly,LANG ASSESS Q,1543-4303,1543-4311,Multiple,987,2.143,N/A,74.48,0.89,Q1,1.34,86.08,6.74,2.763,2.032,0.769,0.0011,0.23669,26,100,8.1,11.6,26
Language Cognition and Neuroscience,LANG COGN NEUROSCI,2327-3798,2327-3801,Multiple,1.932,2.842,Q1,85.82,1.149,Q1,0.87,59.28,24.38,3.212,2.643,0.345,0.0049,1.04788,87,100,4.6,13,87
Language Culture and Curriculum,LANG CULT CURRIC,0790-8318,1747-7573,Multiple,817,2.214,N/A,75,0.696,Q2,1.68,91.49,9.57,2.206,2.057,0.542,0.00083,0.17802,24,91.67,7.9,8.6,22
LANGUAGE IN SOCIETY,LANG SOC,0047-4045,1469-8013,Multiple,2.473,2.392,Q1,80.15,1.793,Q1,1.32,78.23,16.67,3.444,2.353,1.111,0.00211,0.45143,27,100,18.5,14.1,27
LANGUAGE LEARNING,LANG LEARN,0023-8333,1467-9922,Multiple,6.002,5.24,Q1,97.16,1.97,Q1,2.37,96.14,28.23,5.451,4.76,1.357,0.00402,0.85983,28,75,11.9,9.6,21
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,1094-3501,N/A,Multiple,2.069,4.694,Q1,95.1,1.415,Q1,2.12,93.98,0,5.239,4.245,0.542,0.00185,0.39648,24,87.5,8.2,7.6,21
Language Learning and Development,LANG LEARN DEV,1547-5441,1547-3341,Multiple,877,1.48,N/A,55.41,0.909,Q1,0.83,69.32,19.54,2.451,1.36,0.162,0.00105,0.22505,37,100,8.1,13.7,37
Language Matters,LANG MATTERS,1022-8195,1753-5395,Multiple,133,0.583,N/A,20.36,0.232,Q4,0.46,49.05,3.77,0.51,0.528,0.118,0.00021,0.04522,17,100,8.2,12.9,17
Language Policy,LANG POLICY-NETH,1568-4555,1573-1863,Multiple,850,2.355,N/A,79.12,0.928,Q1,1.88,94.19,32.94,2.218,2.226,0.522,0.00117,0.25064,23,91.3,8,9.1,21
Language Problems & Language Planning,LANG PROBL LANG PLAN,0272-2690,1569-9889,Multiple,247,1.115,N/A,44.07,0.38,Q3,0.57,55,7.5,0.971,0.731,0.5,0.00024,0.05322,14,100,10.1,10.7,14
Language Resources and Evaluation,LANG RESOUR EVAL,1574-020X,1574-0218,COMPUTER SCIENCE. INTERDISCIPLINARY APPLICATIONS - SCIE,987,1.835,Q4,18.14,0.55,Q3,0.39,25.8,39.1,1.837,1.788,0.167,0.00099,0.21209,48,97.92,8.8,9,47
LANGUAGE SCIENCES,LANG SCI,0388-0001,1873-5746,Multiple,1.113,0.816,N/A,32.22,0.486,Q2,0.99,76.08,13.38,1.07,0.667,0.509,0.00118,0.25243,55,98.18,9.1,14.7,54
LANGUAGE SPEECH AND HEARING SERVICES IN SCHOOLS,LANG SPEECH HEAR SER,0161-1461,1558-9129,Multiple,2.626,2.215,Q1,75.52,0.696,Q2,1.34,89.88,7.14,2.85,1.915,0.8,0.00167,0.35754,80,90,11.2,9.9,72
Language Teaching,LANG TEACHING,0261-4448,1475-3049,Multiple,2.266,4.769,N/A,96.65,2.181,Q1,3.29,99.32,4.26,6.025,4.615,1.095,0.00252,0.54019,42,90.48,8.6,9,38
Language Teaching Research,LANG TEACH RES,1362-1688,1477-0954,Multiple,2.941,3.401,Q1,89.43,1.405,Q1,2.19,94.65,9.86,4.815,2.959,1.121,0.00367,0.78441,173,99.42,5.7,10.2,172
Language Testing,LANG TEST,0265-5322,1477-0946,Multiple,2.181,2.4,N/A,80.67,1.057,Q1,2.47,97.16,12.36,2.938,2.143,0.579,0.00145,0.31104,19,89.47,12.4,10.1,17
Language Variation and Change,LANG VAR CHANGE,0954-3945,1469-8021,Multiple,911,1.067,N/A,43.04,0.983,Q1,1.13,80.95,27.5,1.653,0.933,0.3,0.0007,0.14972,10,100,13.9,14.4,10
Large Animal Review,LARGE ANIM REV,1124-4593,1124-4593,AGRICULTURE. DAIRY & ANIMAL SCIENCE - SCIE,202,0.557,Q4,10.48,0.077,Q4,0.21,18.35,0,0.529,0.489,0.176,0.00013,0.02988,51,98.04,5.5,11.6,50
LARYNGO-RHINO-OTOLOGIE,LARYNGO RHINO OTOL,0935-8943,1438-8685,OTORHINOLARYNGOLOGY - SCIE,1.054,1.612,Q4,15.12,0.216,Q4,0.56,37.9,12.5,1.247,0.957,0.326,0.00059,0.12631,92,93.48,9.1,8.3,86
LARYNGOSCOPE,LARYNGOSCOPE,0023-852X,1531-4995,Multiple,33.088,2.97,Q2,70.93,0.846,Q2,1,78.23,5.12,3.195,2.755,0.436,0.02624,5.60864,539,91.65,9.8,7.7,494
Laryngoscope Investigative Otolaryngology,LARYNGOSCOPE INVEST,2378-8038,2378-8038,OTORHINOLARYNGOLOGY - SCIE,1.259,2.542,Q2,54.65,0.736,Q2,0.83,65.32,94.13,2.857,2.462,0.263,0.00294,0.62898,198,84.34,2.7,7.3,167
Laser & Photonics Reviews,LASER PHOTONICS REV,1863-8880,1863-8899,Multiple,10.729,10.947,Q1,94.55,2.777,Q1,2.05,94.1,17.54,11.429,10.402,1.695,0.01316,2.81399,210,85.24,5.2,5.3,179
LASER AND PARTICLE BEAMS,LASER PART BEAMS,0263-0346,1469-803X,PHYSICS. APPLIED - SCIE,1.158,1.093,Q4,12.11,0.272,Q4,0.21,15.45,100,1.025,0.988,0.261,0.00083,0.17917,23,100,10.8,12.3,23
LASER PHYSICS,LASER PHYS,1054-660X,1555-6611,Multiple,3.45,1.38,Q4,21.29,0.198,Q4,0.37,33.43,1.05,1.171,1.241,0.581,0.00244,0.52293,167,97.6,6.6,8.6,163
LASER PHYSICS LETTERS,LASER PHYS LETT,1612-2011,1612-202X,Multiple,4.287,1.704,Q3,27.23,0.298,Q3,0.5,49.16,1.95,1.607,1.545,0.469,0.00377,0.80707,162,100,5.8,7.8,162
LASERS IN ENGINEERING,LASER ENG,0898-1507,1029-029X,Multiple,344,0.753,Q4,7.43,0.057,Q4,0.15,11.96,0,0.499,0.545,0.146,0.00021,0.0451,96,100,4.2,6.4,96
LASERS IN MEDICAL SCIENCE,LASER MED SCI,0268-8921,1435-604X,Multiple,7.586,2.555,Q2,52.84,0.484,Q3,0.78,63.62,7.43,2.887,2.277,0.378,0.0059,1.26176,259,86.49,6,7.5,224
LATERALITY,LATERALITY,1357-650X,1464-0678,Multiple,1.234,2.167,Q3,42.52,0.402,Q4,0.48,41.19,10.74,1.725,1.845,1.378,0.00079,0.16904,37,97.3,8.3,12.6,36
LATIN AMERICAN ANTIQUITY,LAT AM ANTIQ,1045-6635,2325-5080,Multiple,1.219,1.245,N/A,43.55,0.59,Q2,0.77,67.21,13.91,1.422,1.153,0.547,0.00114,0.24441,53,100,12.7,15,53
LATIN AMERICAN APPLIED RESEARCH,LAT AM APPL RES,0327-0793,1851-8796,ENGINEERING. CHEMICAL - SCIE,444,0.702,Q4,6.69,0.05,Q4,0.07,7.86,22.06,0.515,0.564,0.143,0.00009,0.02037,42,97.62,10.8,9.3,41
Latin American Economic Review,LAT AM ECON REV,2198-3526,2196-436X,ECONOMICS - SSCI,180,3.538,Q2,71.9,0.565,Q3,0.69,60.61,94.59,2.411,3.538,0,0.0003,0.06424,11,81.82,3,10,9
Latin American Journal of Aquatic Research,LAT AM J AQUAT RES,0718-560X,0717-7178,Multiple,1.434,1.022,Q4,19.44,0.22,Q4,0.32,25,93.51,1.214,0.945,0.329,0.0011,0.23549,79,97.47,6.3,12.6,77
Latin American Journal of Pharmacy,LAT AM J PHARM,0326-2383,N/A,PHARMACOLOGY & PHARMACY - SCIE,920,0.229,Q4,0.54,0.025,Q4,0.07,2.63,0,0.205,0.195,0.061,0.00042,0.09117,442,99.55,6.8,7.5,440
Latin American Journal of Solids and Structures,LAT AM J SOLIDS STRU,1679-7825,1679-7825,Multiple,1.612,1.37,Q4,18.48,0.266,Q4,0.32,26,96.51,1.615,1.286,0.319,0.00151,0.32435,69,98.55,5.3,10.2,68
LATIN AMERICAN PERSPECTIVES,LAT AM PERSPECT,0094-582X,1552-678X,Multiple,1.212,1.047,Q3,42.26,0.634,Q3,0.66,48.53,6.73,1.093,1.013,0.095,0.00206,0.44174,74,100,9.2,11.4,74
LATIN AMERICAN POLITICS AND SOCIETY,LAT AM POLIT SOC,1531-426X,1548-2456,Multiple,824,1.673,Q2,72.02,1.128,Q1,1.09,72.39,5,1.976,1.481,0.643,0.00134,0.28636,28,89.29,9.1,8.4,25
LATIN AMERICAN RESEARCH REVIEW,LAT AM RES REV,0023-8791,1542-4278,AREA STUDIES - SSCI,1.193,1.272,Q2,61.31,0.837,Q2,1.02,67.77,94.08,1.352,1.076,0.2,0.00196,0.41963,60,83.33,11.1,11.8,50
Law & Policy,LAW POLICY,0265-8240,1467-9930,LAW - SSCI,899,1.222,Q3,45.13,0.821,Q2,1.57,87.14,5.88,1.784,1.167,0.333,0.00068,0.14664,15,100,12,9.4,15
LAW & SOCIETY REVIEW,LAW SOC REV,0023-9216,1540-5893,Multiple,3.42,2.592,Q1,86.69,1.539,Q1,1.81,90.67,6.32,2.987,2.521,0.833,0.00228,0.48732,24,100,18.7,11,24
Law and History Review,LAW HIST REV,0738-2480,1939-9022,Multiple,463,0.769,N/A,66.18,1.058,Q1,1.74,89.78,2.15,0.953,0.692,0.214,0.0015,0.32211,28,89.29,10.9,24.4,25
LAW AND HUMAN BEHAVIOR,LAW HUMAN BEHAV,0147-7307,1573-661X,Multiple,4.127,3.87,Q1,95.13,1.284,Q1,2.48,95.45,0,3.877,3.584,0.619,0.00278,0.59417,42,97.62,12.4,9.2,41
LAW AND PHILOSOPHY,LAW PHILOS,0167-5249,1573-0522,Multiple,581,0.526,Q4,13.96,0.707,Q2,0.51,47.72,40.26,0.93,0.474,0.2,0.00086,0.18529,20,100,13.8,13.8,20
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,LAW SOCIAL INQUIRY,0897-6546,1747-4469,LAW - SSCI,1.458,1.396,Q2,52.92,0.882,Q2,1.71,88.34,14.71,1.744,1.257,0.333,0.00196,0.41891,69,88.41,10.3,12,61
LAW LIBRARY JOURNAL,LAW LIBR J,0023-9283,0023-9283,Multiple,150,0.32,Q4,7.74,0.098,Q4,0.24,36.28,0,0.358,0.24,0.4,0.00008,0.01893,10,90,10.4,14.6,9
LAW PROBABILITY & RISK,LAW PROBAB RISK,1470-8396,1470-840X,Multiple,191,0.581,Q4,16.56,0.329,Q4,0.65,64.11,11.43,0.713,0.548,0,0.00024,0.05338,4,100,8.9,19.5,4
Leadership,LEADERSHIP-LONDON,1742-7150,1742-7169,MANAGEMENT - SSCI,1.752,3.183,Q3,29.87,0.861,Q3,0.7,53.32,27.27,3.416,2.591,0.256,0.00155,0.33209,39,97.44,8.1,10,38
LEADERSHIP & ORGANIZATION DEVELOPMENT JOURNAL,LEADERSHIP ORG DEV J,0143-7739,1472-5347,MANAGEMENT - SSCI,3.365,3.923,Q3,41.81,0.688,Q3,0.87,61.76,1.41,4.274,3.615,0.9,0.00224,0.47904,70,100,6.9,10.4,70
LEADERSHIP QUARTERLY,LEADERSHIP QUART,1048-9843,1873-3409,Multiple,14.53,9.924,Q1,93.37,3.827,Q1,2.07,93.99,8.82,12.626,9.043,3.386,0.00883,1.88841,44,86.36,11.4,12,38
LEARNED PUBLISHING,LEARN PUBL,0953-1513,1741-4857,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,899,2.711,Q2,51.79,0.697,Q2,0.82,75.3,17.69,2.408,2.175,0.72,0.00139,0.29862,50,94,4.7,4.5,47
LEARNING & BEHAVIOR,LEARN BEHAV,1543-4494,1543-4508,Multiple,1.042,1.926,Q2,66.19,0.636,Q1,0.56,38.27,21.15,2.078,1.809,0.306,0.00108,0.23227,36,94.44,9.4,13.5,34
LEARNING & MEMORY,LEARN MEMORY,1072-0502,1549-5485,NEUROSCIENCES - SCIE,6.366,2.699,Q4,23.91,0.968,Q3,0.58,27.7,100,3.068,2.619,0.415,0.00324,0.6937,53,100,12.2,11,53
LEARNING AND INDIVIDUAL DIFFERENCES,LEARN INDIVID DIFFER,1041-6080,1873-3425,PSYCHOLOGY. EDUCATIONAL - SSCI,7.545,3.897,Q1,79.51,1.146,Q2,1.21,71.33,14.55,3.928,3.701,0.429,0.00754,1.61233,84,100,7.7,10.1,84
LEARNING AND INSTRUCTION,LEARN INSTR,0959-4752,1873-3263,Multiple,7.87,6.636,Q1,96.44,2.225,Q1,2.83,98.31,21.74,7.238,6.333,1.98,0.00729,1.55831,101,100,8.3,10.2,101
LEARNING AND MOTIVATION,LEARN MOTIV,0023-9690,1095-9122,Multiple,1.135,1.488,Q4,17.86,0.401,Q4,0.42,20.59,4.65,1.53,1.3,0.571,0.00063,0.13518,49,100,17.9,11.9,49
Learning Culture and Social Interaction,LEARN CULT SOC INTER,2210-6561,2210-657X,EDUCATION & EDUCATIONAL RESEARCH - SSCI,900,1.913,Q3,33.52,0.62,Q3,1.22,75.85,18.47,2.118,1.651,0.68,0.0015,0.32098,100,93,4.1,11,93
Learning Disabilities Research & Practice,LEARN DISABIL RES PR,0938-8982,1540-5826,Multiple,1.256,1.886,Q3,41.78,1.129,Q1,0.98,70.86,0,3.548,1.543,0.552,0.00099,0.21316,29,89.66,10.5,10.2,26
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,2168-376X,Multiple,1.265,1.485,Q4,23.86,0.699,Q2,0.85,60.43,1.14,2.333,1.379,0.773,0.00083,0.17876,22,86.36,11.7,10.5,19
Learning Media and Technology,LEARN MEDIA TECHNOL,1743-9884,1743-9892,EDUCATION & EDUCATIONAL RESEARCH - SSCI,1.595,7.586,Q1,97.57,1.666,Q1,2.66,97.77,20,5.583,6.4,1.15,0.00258,0.55134,40,95,4.7,5.3,38
Lecture Notes in Mathematics,LECT NOTES MATH,0075-8434,1617-9692,MATHEMATICS - SCIE,12.901,0.54,Q4,12.8,N/A,N/A,0.18,2.43,1.1,N/A,0.537,0.03,0.00496,1.06152,165,100,31.3,22.1,165
LEGAL AND CRIMINOLOGICAL PSYCHOLOGY,LEGAL CRIMINOL PSYCH,1355-3259,2044-8333,Multiple,1.027,1.756,Q2,65.26,0.599,Q3,1.42,85,33.33,2.08,1.732,0.615,0.00064,0.13753,13,100,11,8.5,13
Legal Medicine,LEGAL MED-TOKYO,1344-6223,N/A,MEDICINE. LEGAL - SCIE,1.913,2.017,Q3,50,0.36,Q3,0.67,41.3,3.03,1.746,1.823,0.416,0.00155,0.3331,149,93.29,6.6,9.5,139
Legal Studies,LEGAL STUD,0261-3875,1748-121X,LAW - SSCI,453,1.113,Q3,39.29,0.5,Q3,1.13,76.56,16.22,0.97,1.056,0.4,0.00079,0.16963,40,100,7.9,10.4,40
LEGISLATIVE STUDIES QUARTERLY,LEGIS STUD QUART,0362-9805,1939-9162,POLITICAL SCIENCE - SSCI,1.455,1.571,Q3,35.56,1.521,Q2,0.75,52.12,12.38,1.981,1.494,0.321,0.00222,0.4755,28,100,14.4,10.3,28
Legume Research,LEGUME RES,0250-5371,N/A,AGRONOMY - SCIE,1.09,0.669,Q4,11.67,0.081,Q4,0.23,24.6,0,0.762,0.384,0.225,0.0006,0.12864,231,98.7,5.1,11.6,228
Leiden Journal of International Law,LEIDEN J INT LAW,0922-1565,1478-9698,LAW - SSCI,847,1.588,Q2,58.77,0.819,Q2,1.88,91.23,25.58,1.483,1.494,0.545,0.00164,0.35072,44,97.73,8.3,11.2,43
LEISURE SCIENCES,LEISURE SCI,0149-0400,1521-0588,Multiple,3.703,5.008,Q1,91.55,0.933,Q2,0.93,69.08,6.01,4.322,4.728,0.586,0.00209,0.44727,58,98.28,12.3,10.5,57
Leisure Studies,LEISURE STUD,0261-4367,1466-4496,HOSPITALITY. LEISURE. SPORT & TOURISM - SSCI,2.344,2.531,Q4,25.44,0.626,Q3,0.66,56.11,7.98,2.914,2.138,0.588,0.00187,0.4006,68,100,6.9,9.1,68
LEPROSY REVIEW,LEPROSY REV,0305-7518,2162-8807,Multiple,1.089,0.548,Q4,6.25,0.224,Q4,0.15,10.33,46.77,0.742,0.417,0.4,0.00049,0.10584,40,90,14,9.3,36
LETHAIA,LETHAIA,0024-1164,1502-3931,PALEONTOLOGY - SCIE,2.769,1.598,Q3,38.68,0.537,Q2,0.87,78.7,11.56,2.033,1.514,0.325,0.00122,0.26171,40,97.5,15.6,16.8,39
LETTERS IN APPLIED MICROBIOLOGY,LETT APPL MICROBIOL,0266-8254,1472-765X,Multiple,10.575,2.813,Q3,31.96,0.472,Q3,0.56,40.45,6.16,3.086,2.734,0.284,0.00332,0.71054,183,89.62,12.4,7.4,164
Letters in Drug Design & Discovery,LETT DRUG DES DISCOV,1570-1808,1875-628X,CHEMISTRY. MEDICINAL - SCIE,1.292,1.099,Q4,5.56,0.125,Q4,0.37,14.58,0,1.03,1.066,0.253,0.00081,0.1748,95,92.63,5.1,8,88
LETTERS IN MATHEMATICAL PHYSICS,LETT MATH PHYS,0377-9017,1573-0530,PHYSICS. MATHEMATICAL - SCIE,3.001,1.52,Q2,50.89,0.848,Q2,0.62,54.17,24.8,1.385,1.392,0.354,0.00416,0.8902,144,100,14.3,17,144
LETTERS IN ORGANIC CHEMISTRY,LETT ORG CHEM,1570-1786,1875-6255,CHEMISTRY. ORGANIC - SCIE,1.056,0.797,Q4,9.82,0.096,Q4,0.21,23.02,0,0.758,0.734,0.239,0.00057,0.12197,109,92.66,6.5,10.5,101
LEUKEMIA,LEUKEMIA,0887-6924,1476-5551,Multiple,37.644,12.883,Q1,91.67,4.143,Q1,2.17,94.79,39.73,12.255,12.443,3.065,0.05281,11.28752,231,85.71,6.8,6.2,198
LEUKEMIA & LYMPHOMA,LEUKEMIA LYMPHOMA,1042-8194,1029-2403,Multiple,11.227,2.996,Q3,32.69,0.812,Q3,0.45,37.77,10.11,3.011,2.861,0.602,0.01165,2.4917,284,87.32,7,5.9,248
LEUKEMIA RESEARCH,LEUKEMIA RES,0145-2126,1873-5835,Multiple,7.176,3.715,Q3,48.08,0.721,Q3,0.56,48.4,8.72,2.871,3.634,0.802,0.00466,0.99773,126,93.65,9.3,6.9,118
Leukos,LEUKOS,1550-2724,1550-2716,Multiple,697,3.441,Q2,66.83,0.568,Q2,0.82,75.84,34.83,3.101,3.085,1.767,0.00058,0.12579,30,93.33,5.3,10.9,28
Lex Localis-Journal of Local Self-Government,LEX LOCALIS,1581-5374,1855-363X,Multiple,275,0.66,Q4,9.89,0.135,Q4,0.27,26.31,5.23,0.745,0.519,0.128,0.00031,0.0679,47,95.74,4.9,8.5,45
Lexikos,LEXIKOS,1684-4904,2224-0039,Multiple,130,0.375,N/A,9.02,0.207,Q4,0.35,39.32,50,0.429,0.175,0.083,0.0002,0.04412,12,100,10,11.4,12
LGBT Health,LGBT HEALTH,2325-8292,2325-8306,Multiple,2.171,5.15,Q1,81.59,1.886,Q1,1.32,87.88,2.37,5.795,4.897,0.774,0.00507,1.08353,62,95.16,4.4,5.7,59
LIBRARY & INFORMATION SCIENCE RESEARCH,LIBR INFORM SCI RES,0740-8188,1873-1848,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1.599,3.209,Q2,57.74,0.728,Q2,0.81,74.7,8,2.965,2.851,0.333,0.00118,0.25269,33,84.85,9.4,7.2,28
LIBRARY AND INFORMATION SCIENCE,LIBR INFORM SC,0373-4447,0373-4447,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,34,0,Q4,0.6,0.021,Q4,0.18,27.13,0,0.091,0,0,0,0.00143,3,100,N/A,N/A,3
LIBRARY COLLECTIONS ACQUISITIONS & TECHNICAL SERVICES,LIBR COLLECT ACQUIS,1464-9055,1873-1821,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,95,N/A,N/A,N/A,N/A,N/A,0.17,25.3,N/A,N/A,N/A,N/A,0.00002,0.00523,N/A,N/A,N/A,N/A,N/A
LIBRARY HI TECH,LIBR HI TECH,0737-8831,0737-8831,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,1.017,1.623,Q3,32.74,0.305,Q3,0.58,63.72,2.09,1.697,1.296,0.641,0.00086,0.18408,128,94.53,4.8,6.3,121
LIBRARY JOURNAL,LIBR J,0363-0277,N/A,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,557,0.598,Q4,16.07,0.182,Q4,0.03,3.96,0,0.43,0.598,1,0.00055,0.11858,8,100,17.5,N/A,8
LIBRARY QUARTERLY,LIBR QUART,0024-2519,1549-652X,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,783,1.239,Q3,29.17,0.619,Q2,0.49,58.23,0,1.852,1,0.636,0.00067,0.14461,22,100,12.3,7.3,22
LIBRARY RESOURCES & TECHNICAL SERVICES,LIBR RESOUR TECH SER,0024-2527,2159-9610,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,137,0.433,Q4,12.5,0.18,Q4,0.12,21.04,0,0.325,0.333,0.167,0.00014,0.03033,12,83.33,11.4,8.2,10
LIBRARY TRENDS,LIBR TRENDS,0024-2594,1559-0682,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,987,0.474,Q4,13.69,0.41,Q3,0.26,39.94,0,0.877,0.474,0.148,0.00066,0.14219,27,100,15.2,9.2,27
LIBRI-International Journal of Libraries and Information Studies,LIBRI,0024-2667,1865-8423,INFORMATION SCIENCE & LIBRARY SCIENCE - SSCI,418,0.667,Q4,18.45,0.191,Q4,0.23,35.06,6.9,0.808,0.604,0.154,0.00021,0.04664,39,100,10.5,7.8,39
Libyan Journal of Medicine,LIBYAN J MED,1993-2820,1819-6357,MEDICINE. GENERAL & INTERNAL - SCIE,553,1.743,Q3,28.78,0.413,Q3,0.44,63.68,98.41,2.263,1.743,0.571,0.00031,0.06709,28,100,7.6,6.3,28
LICHENOLOGIST,LICHENOLOGIST,0024-2829,1096-1135,Multiple,1.575,1.651,Q3,38.03,0.393,Q3,0.52,49.81,15.69,1.812,1.222,0.333,0.00075,0.1613,39,89.74,12.8,12.6,35
Life Science Alliance,LIFE SCI ALLIANCE,N/A,2575-1077,BIOLOGY - SCIE,2.253,5.781,Q1,82.45,1.918,Q1,1.36,88.05,99.14,5.654,5.746,1.348,0.00643,1.37483,184,100,2.2,8.6,184
LIFE SCIENCES,LIFE SCI,0024-3205,1879-0631,Multiple,42.96,6.78,Q1,87.28,0.922,Q2,1.41,91.83,4.98,6.044,6.609,1.722,0.03206,6.85204,1.309,84.34,4.5,6.7,1.104
Life Sciences in Space Research,LIFE SCI SPACE RES,2214-5524,2214-5532,Multiple,851,2.73,Q2,51.45,0.536,Q3,0.52,56.17,12.5,3,2.38,0.577,0.00102,0.22002,52,82.69,4.4,8.6,43
Life-Basel,LIFE-BASEL,N/A,2075-1729,BIOLOGY - SCIE,3.943,3.251,Q2,59.04,N/A,N/A,0.58,52.65,92.98,N/A,2.83,0.798,0.00369,0.79047,1.389,70.19,1.8,7.5,975
Lifestyle Genomics,LIFESTYLE GENOM,2504-3161,2504-3188,Multiple,96,2.063,Q4,21.67,0.408,Q3,0.37,27.98,97.62,2.071,2,0.9,0.00016,0.03477,10,80,N/A,7.1,8
LIFETIME DATA ANALYSIS,LIFETIME DATA ANAL,1380-7870,1572-9249,Multiple,1.115,1.429,Q3,42.8,1.052,Q1,0.55,53.68,14.15,1.435,1.325,0.207,0.00167,0.35884,29,100,13.7,14.7,29
Light & Engineering,LIGHT ENG,0236-2945,N/A,Multiple,190,0.376,Q4,1.27,0.022,Q4,0.12,5.09,0,0.3,0.19,0.145,0.00009,0.01992,62,96.77,3.4,9.2,60
Light-Science & Applications,LIGHT-SCI APPL,2047-7538,2047-7538,OPTICS - SCIE,14.914,20.257,Q1,97.52,4.912,Q1,4.97,98.73,99.79,18.506,19.726,4.281,0.02842,6.07388,196,87.24,3.3,6.2,171
